imageid,count,lon,lat,t
32952267,1,-8231307.30459238,4988148.63746228,2017-01-04 08:51:00
20528913,3,-8236290.52159774,4975507.88339892,2016-10-26 16:03:46
17091601,0,-8237556.58043043,4974214.70550931,2016-10-04 11:13:38
35354441,1,-8237508.54607016,4971544.56595715,2017-01-17 11:22:10
30307897,1,-8235043.85462035,4971534.44566755,2016-12-16 09:54:22
21185683,0,-8233082.750283,4985133.53782562,2016-10-31 11:12:30
8275428,1,-8236915.15752449,4970678.62140049,2016-08-22 08:26:22
10413572,0,-8239233.3970522,4970608.03554595,2016-09-06 14:36:50
27812957,0,-8234970.0831938,4979531.02246314,2016-12-06 10:38:58
25733697,1,-8233964.21140694,4976634.63680249,2016-11-25 11:34:06
5366415,0,-8237034.73692149,4972906.34720645,2016-07-19 11:57:32
16653526,0,-8236739.33952072,4974331.80459473,2016-09-30 14:34:38
1666935,2,-8234690.51542462,4975736.52998774,2016-06-29 14:15:30
5179708,1,-8239297.26104407,4970453.94102308,2016-07-21 11:06:56
21378255,0,-8233798.75724778,4977270.96639016,2016-10-31 17:12:28
24216853,2,-8234770.27583978,4982021.05713111,2016-11-17 09:11:56
27119704,4,-8238399.90349684,4969042.57343577,2016-12-02 16:25:50
37517064,4,-8230980.04755335,4982602.54972502,2017-01-30 10:12:08
33881863,0,-8230652.67919483,4984365.47288148,2017-01-09 12:55:34
9492942,0,-8238431.86332264,4971886.29712478,2016-09-07 08:59:46
17704856,0,-8235346.63250336,4978736.04291616,2016-10-07 17:33:48
15941905,1,-8237339.49629144,4973475.22119604,2016-09-27 13:56:34
26365997,1,-8237693.38095267,4975869.5765515,2016-11-29 09:07:04
29683871,0,-8235479.94872553,4975457.84930299,2016-12-13 12:13:20
32092287,1,-8236684.04712965,4974405.85543066,2016-12-28 13:07:02
29333283,0,-8233865.51554641,4977137.03363008,2016-12-13 09:55:08
31806560,0,-8238355.85437433,4968968.35763001,2016-12-26 13:07:06
4609066,0,-8229969.31110474,4992729.08996625,2016-07-25 15:00:22
5401689,1,-8233424.02244592,4978536.94434234,2016-07-19 13:48:12
42571406,1,-8236719.1239012,4974795.67474746,2017-02-28 10:43:24
2699794,0,-8237532.7803233,4974399.66981356,2016-06-10 11:52:44
8848941,0,-8231255.86385569,4987621.13299398,2016-08-30 17:58:58
16004102,0,-8230859.65552406,4986429.94266428,2016-09-29 08:13:16
7228778,3,-8235411.88798886,4977782.64083246,2016-08-11 14:59:12
26203430,0,-8237322.64252053,4973648.40357229,2016-11-28 16:18:50
3630414,1,-8231941.90361355,4979601.92271155,2016-08-08 09:36:34
19979812,2,-8230759.96892005,4985493.79317219,2016-10-24 16:57:20
17602449,1,-8235533.20396993,4979107.05765782,2016-10-06 17:09:20
26096808,3,-8236306.68518781,4973765.48118086,2016-11-28 12:12:28
41690809,0,-8237472.89043726,4976519.6851037,2017-02-23 13:17:34
29760360,0,-8232400.6957629,4980083.15539763,2016-12-15 11:47:00
25485873,0,-8235954.15862436,4973556.02358558,2016-11-22 11:08:14
44801925,1,-8232282.24069275,4986496.7592819,2017-03-13 12:22:48
11897565,4,-8235752.24733196,4978332.26436206,2016-09-14 09:32:16
1670784,0,-8237234.41069213,4972106.98557312,2016-06-29 18:46:06
26005744,0,-8238182.16257285,4972591.62454813,2016-11-28 08:19:42
34379876,0,-8237853.23574145,4973131.80380195,2017-01-12 11:41:46
19272713,0,-8237958.71095898,4971147.87019851,2016-10-20 12:31:50
8621950,0,-8236893.02720971,4972512.75449895,2016-08-25 16:08:32
20303394,3,-8235786.73411021,4976480.02105614,2016-10-25 08:22:20
5948144,1,-8236127.68344661,4971470.19896458,2016-07-29 17:02:58
36251337,0,-8237146.4682944,4971886.92874728,2017-01-23 10:28:08
37213885,0,-8238278.10884196,4972956.4710746,2017-01-27 12:30:02
3731759,0,-8239172.00435303,4970366.3056197,2016-08-11 08:56:30
18817238,0,-8236555.35066634,4972907.40491731,2016-10-13 13:57:56
27791189,0,-8236102.92599186,4978790.07730832,2016-12-06 11:12:14
9498259,1,-8235507.76746628,4974857.0193337,2016-09-07 13:03:16
21082445,0,-8237686.98008195,4969341.39540541,2016-10-31 15:31:38
28299238,1,-8233187.69116697,4977194.92445512,2016-12-08 10:26:30
15633116,0,-8235608.17764698,4979371.4216104,2016-09-27 09:01:28
43850184,0,-8239611.39351514,4969595.42108431,2017-03-08 10:06:14
22196914,0,-8238234.99480318,4972972.90976142,2016-11-03 17:17:48
31371598,0,-8235517.55244952,4975055.61680807,2016-12-21 13:31:26
26723907,0,-8236687.04162395,4972865.5079025,2016-12-02 09:48:38
8886552,0,-8236591.50723695,4973903.23171025,2016-08-30 13:32:10
23019434,0,-8232975.04867565,4978905.90829663,2016-11-11 10:46:46
4597589,3,-8237818.94933829,4971016.73852898,2016-07-25 14:26:56
10784903,5,-8236299.28244167,4970939.87868045,2016-09-08 08:21:26
11563902,0,-8233688.39510461,4977245.24668991,2016-09-12 08:33:42
513784,2,-8233763.82519157,4983813.24477397,2016-07-11 15:04:04
39144046,0,-8234932.27909473,4976441.06256523,2017-02-10 11:31:44
7017106,0,-8236389.42896532,4975347.39314725,2016-08-09 11:17:26
23047870,0,-8230444.05533713,4986903.21483132,2016-11-10 13:31:10
33860107,0,-8230557.90178036,4982484.48385424,2017-01-09 16:13:04
